option,players,deck,energies,ranks,wilds,tier4_counters,trials,seed,uc_game,uc_game_lo,uc_game_hi,uc_player,uc_player_lo,uc_player_hi,uc_draws,uc_draws_lo,uc_draws_hi,t3plus_player,t3plus_player_lo,t3plus_player_hi,t4plus_player,t4plus_player_lo,t4plus_player_hi,t5_player,t5_player_lo,t5_player_hi,open3_player,open3_player_lo,open3_player_hi,ever3_player,ever3_player_lo,ever3_player_hi,conj_player,conj_player_lo,conj_player_hi,pace_predrought,pace_predrought_lo,pace_predrought_hi,draws_per_player,draws_per_player_lo,draws_per_player_hi
Option1,2,5E x 1-12 + 2W (62),5,12,2,3,10000,43000,0.9766,0.9736370633907557,0.9795629366092443,0.7535,0.747527018581981,0.7594729814180189,15.300530856005308,15.197013454150508,15.404048257860108,0.9997,0.9994599860154075,0.9999400139845925,0.9815,0.979632450637868,0.9833675493621321,0.7535,0.747527018581981,0.7594729814180189,0.5884,0.5815795176625697,0.5952204823374304,0.9991,0.9986844083552332,0.9995155916447668,0.74155,0.7354826428316935,0.7476173571683066,13.1634,13.101308499192902,13.225491500807097,25.0,24.92269737199283,25.07730262800717
Option1,3,5E x 1-12 + 2W (62),5,12,2,3,10000,43001,0.7816,0.7735020579657298,0.7896979420342701,0.36,0.354568288667464,0.365431711332536,10.243333333333334,10.165026280261383,10.321640386405285,0.9898666666666667,0.9887333273416106,0.9910000059917228,0.8108,0.8063678660227229,0.815232133977277,0.36,0.354568288667464,0.365431711332536,0.5814333333333334,0.5758508462510588,0.587015820415608,0.995,0.9942018362741057,0.9957981637258942,0.6669333333333334,0.6615999568538634,0.6722667098128033,8.201333333333348,8.175089495625855,8.227577171040842,14.666666666666666,14.631126382368095,14.702206950965238
Option1,4,5E x 1-12 + 2W (62),5,12,2,3,10000,43002,0.5016,0.4918000501761285,0.5113999498238716,0.1526,0.14907590528367923,0.1561240947163208,6.661041939711665,6.593244007844605,6.7288398715787245,0.925575,0.9230028795329972,0.9281471204670029,0.542775,0.5378929639952194,0.5476570360047807,0.1526,0.14907590528367923,0.1561240947163208,0.58605,0.5812231105278969,0.590876889472103,0.9843,0.983081740955133,0.9855182590448669,0.5823,0.5774668340367416,0.5871331659632585,5.419675,5.40634105034041,5.433008949659589,9.5,9.48181793332185,9.51818206667815
Option1,5,5E x 1-16 + 4W (84),5,16,4,3,10000,43003,0.6506,0.6412551023064775,0.6599448976935224,0.16926,0.16597314308525654,0.17254685691474345,8.303792981212336,8.23645858011786,8.371127382306812,0.88546,0.8826685224973235,0.8882514775026765,0.51968,0.5153007029351729,0.5240592970648271,0.16926,0.16597314308525654,0.17254685691474345,0.57806,0.5737310469293506,0.5823889530706494,0.99376,0.9930697536480959,0.994450246351904,0.74756,0.7437522083023089,0.7513677916976911,5.93956000000002,5.927840465889544,5.951279534110496,10.8,10.77997354829094,10.820026451709062
Option1,6,5E x 1-16 + 4W (84),5,16,4,3,10000,43004,0.4276,0.41790328274732114,0.4372967172526788,0.08281666666666666,0.08061136809338323,0.08502196523995009,6.15516200442745,6.088807085998788,6.221516922856113,0.77425,0.7709047010619378,0.7775952989380622,0.3511666666666667,0.34734719172204503,0.35498614161128833,0.08281666666666666,0.08061136809338323,0.08502196523995009,0.5764666666666667,0.5725128971903914,0.5804204361429419,0.9836833333333334,0.9826695997750925,0.9846970668915742,0.6778333333333333,0.6740941030787171,0.6815725635879495,4.437549999999989,4.429588379422226,4.4455116205777525,8.0,7.987535004949793,8.012464995050207
Option2,2,4E x 1-15 + 2W (62),4,15,2,3,10000,43005,0.0,0.0,1.96e-08,0.0,0.0,1.3859292911256331e-08,nan,nan,nan,0.99035,0.9889951254559185,0.9917048745440814,0.85385,0.8489541142482488,0.8587458857517511,0.0,0.0,1.3859292911256331e-08,0.7706,0.7647729025294577,0.7764270974705422,1.0,0.9999999861407071,1.0,0.94145,0.9381961078579953,0.9447038921420047,10.67665,10.644243291293293,10.709056708706708,25.0,24.93197923930744,25.06802076069256
Option2,3,4E x 1-15 + 2W (62),4,15,2,3,10000,43006,0.0,0.0,1.96e-08,0.0,0.0,1.1316065276116665e-08,nan,nan,nan,0.9133333333333333,0.910149603957155,0.9165170627095116,0.5294,0.5237517569852091,0.5350482430147908,0.0,0.0,1.1316065276116665e-08,0.7743666666666666,0.7696365658346728,0.7790967674986605,0.9998,0.9996399826742715,0.9999600173257286,0.8843,0.8806803886948273,0.8879196113051726,7.136600000000024,7.120006479238688,7.153193520761359,14.666666666666666,14.635938041913152,14.69739529142018
Option2,4,4E x 1-15 + 2W (62),4,15,2,3,10000,43007,0.0,0.0,1.96e-08,0.0,0.0,9.8e-09,nan,nan,nan,0.759825,0.7556385417476373,0.7640114582523626,0.291775,0.28732012275882096,0.29622987724117905,0.0,0.0,9.8e-09,0.771475,0.7673601513766635,0.7755898486233366,0.998775,0.9984322101518787,0.9991177898481213,0.804025,0.8001348962106423,0.8079151037893577,4.82285,4.813126641928345,4.832573358071655,9.5,9.483469281878392,9.516530718121608
Option2,5,5E x 1-15 + 4W (79),5,15,4,3,10000,43008,0.6405,0.6310948638733934,0.6499051361266065,0.16612,0.16285762553425587,0.1693823744657441,7.455574283650373,7.392915924591781,7.5182326427089645,0.88238,0.8795561639085777,0.8852038360914224,0.5136,0.5092189283099589,0.517981071690041,0.16612,0.16285762553425587,0.1693823744657441,0.57074,0.5664013917748203,0.5750786082251798,0.98952,0.9886273853739114,0.9904126146260885,0.69622,0.692188896903123,0.7002511030968769,5.468560000000007,5.457298259902632,5.479821740097383,9.8,9.782097734179652,9.817902265820349
Option2,6,5E x 1-15 + 4W (79),5,15,4,3,10000,43009,0.425,0.4153108772326902,0.43468912276730975,0.0833,0.08108885836358982,0.08551114163641017,5.364945978391357,5.306784025969345,5.4231079308133685,0.7718833333333334,0.7685256882586363,0.7752409784080304,0.3458,0.34199418029377815,0.34960581970622184,0.0833,0.08108885836358982,0.08551114163641017,0.56355,0.5595816138783379,0.567518386121662,0.9749,0.9736483083873946,0.9761516916126054,0.6172333333333333,0.6133440266747153,0.6211226399919513,3.993699999999993,3.9863922457230343,4.0010077542769515,7.166666666666667,7.155561188573604,7.17777214475973
