option,players,deck,energies,ranks,wilds,tier4_counters,trials,seed,uc_game,uc_game_lo,uc_game_hi,uc_player,uc_player_lo,uc_player_hi,uc_draws,uc_draws_lo,uc_draws_hi,t3plus_player,t3plus_player_lo,t3plus_player_hi,t4plus_player,t4plus_player_lo,t4plus_player_hi,t5_player,t5_player_lo,t5_player_hi,open3_player,open3_player_lo,open3_player_hi,ever3_player,ever3_player_lo,ever3_player_hi,conj_player,conj_player_lo,conj_player_hi,pace_predrought,pace_predrought_lo,pace_predrought_hi,draws_per_player,draws_per_player_lo,draws_per_player_hi
Option1,2,5E x 1-12 + 2W (62),5,12,2,2,10000,42000,0.9732,0.9700346297338858,0.9763653702661141,0.75095,0.7449563709951482,0.7569436290048518,15.240428790199081,15.137308730105593,15.343548850292569,0.9997,0.9994599860154075,0.9999400139845925,0.9814,0.979527505406363,0.9832724945936371,0.75095,0.7449563709951482,0.7569436290048518,0.5823,0.5754648711455599,0.5891351288544402,0.9991,0.9986844083552332,0.9995155916447668,0.75345,0.7474766110316002,0.7594233889683997,13.0347,12.974481285017456,13.094918714982546,25.0,24.923248750670012,25.076751249329988
Option1,3,5E x 1-12 + 2W (62),5,12,2,2,10000,42001,0.777,0.7688413366683017,0.7851586633316984,0.3569333333333333,0.35151186410436486,0.3623548025623018,10.23234964512514,10.152744486431086,10.311954803819194,0.9891333333333333,0.9879601360855684,0.9903065305810982,0.8121666666666667,0.8077468489611918,0.8165864843721417,0.3569333333333333,0.35151186410436486,0.3623548025623018,0.5833333333333334,0.5777544379163109,0.5889122287503559,0.9951333333333333,0.994345830941699,0.9959208357249676,0.6653333333333333,0.6599935785413491,0.6706730881253176,8.207366666666667,8.181676757797208,8.233056575536127,14.666666666666666,14.630684854418577,14.702648478914755
Option1,4,5E x 1-12 + 2W (62),5,12,2,2,10000,42002,0.5021,0.4923000864363812,0.5118999135636189,0.152125,0.14860540828797217,0.15564459171202785,6.718323746918652,6.650288542709509,6.786358951127795,0.92945,0.9269404976852172,0.9319595023147828,0.543925,0.5390439447981226,0.5488060552018774,0.152125,0.14860540828797217,0.15564459171202785,0.579425,0.5745872166308551,0.5842627833691448,0.984075,0.9828481826885086,0.9853018173114915,0.580325,0.5754886439568849,0.585161356043115,5.4273,5.41390893361007,5.440691066389929,9.5,9.481709179902134,9.518290820097866
Option1,5,5E x 1-16 + 4W (84),5,16,4,2,10000,42003,0.6636,0.6543394399215597,0.6728605600784402,0.17366,0.17033952392442578,0.17698047607557424,8.412069561211563,8.344864696409571,8.479274426013555,0.88466,0.8818600566906059,0.8874599433093942,0.52208,0.5177015822068199,0.52645841779318,0.17366,0.17033952392442578,0.17698047607557424,0.5741,0.5697657030459278,0.5784342969540723,0.99314,0.9924165002855475,0.9938634997144525,0.7447,0.7408780310585877,0.7485219689414123,5.951260000000003,5.9395230154184215,5.962996984581585,10.8,10.77993093061672,10.820069069383282
Option1,6,5E x 1-16 + 4W (84),5,16,4,2,10000,42004,0.426,0.4163079238632788,0.4356920761367212,0.08313333333333334,0.08092420403568049,0.08534246263098619,6.149558941459503,6.082237904628703,6.2168799782903035,0.7751,0.7717591725735881,0.778440827426412,0.35041666666666665,0.3465990680910881,0.3542342652422452,0.08313333333333334,0.08092420403568049,0.08534246263098619,0.5763666666666667,0.5724127734444849,0.5803205598888485,0.9846666666666667,0.9836834633095317,0.9856498700238017,0.6740833333333334,0.6703328216230858,0.6778338450435809,4.446233333333339,4.438262047702577,4.454204618964101,8.0,7.987447476345471,8.012552523654529
Option2,2,4E x 1-15 + 2W (62),4,15,2,2,10000,42005,0.0,0.0,1.96e-08,0.0,0.0,1.3859292911256331e-08,nan,nan,nan,0.99205,0.9908191888594102,0.9932808111405897,0.85915,0.8543288127829133,0.8639711872170867,0.0,0.0,1.3859292911256331e-08,0.7748,0.769010779748809,0.780589220251191,1.0,0.9999999861407071,1.0,0.94405,0.9408647859902668,0.9472352140097331,10.67435,10.642061128306862,10.706638871693139,25.0,24.93400933870335,25.06599066129665
Option2,3,4E x 1-15 + 2W (62),4,15,2,2,10000,42006,0.0,0.0,1.96e-08,0.0,0.0,1.1316065276116665e-08,nan,nan,nan,0.9112,0.9079810903828781,0.9144189096171219,0.5353,0.5296560858125589,0.5409439141874411,0.0,0.0,1.1316065276116665e-08,0.7704,0.7656407389938352,0.7751592610061647,0.9999,0.9997868450054129,1.0,0.8837,0.8800722468418409,0.8873277531581591,7.142400000000003,7.125568373437179,7.159231626562827,14.666666666666666,14.636078106995765,14.697255226337568
Option2,4,4E x 1-15 + 2W (62),4,15,2,2,10000,42007,0.0,0.0,1.96e-08,0.0,0.0,9.8e-09,nan,nan,nan,0.75845,0.7542553756420985,0.7626446243579014,0.2902,0.2857522253296283,0.29464777467037173,0.0,0.0,9.8e-09,0.7776,0.7735245873129706,0.7816754126870293,0.99935,0.9991002292589193,0.9995997707410806,0.805,0.8011172330742111,0.808882766925789,4.812925,4.803226540940855,4.822623459059145,9.5,9.483450120197928,9.516549879802072
Option2,5,5E x 1-15 + 4W (79),5,15,4,2,10000,42008,0.6397,0.630290286993452,0.6491097130065481,0.16706,0.16379025287183782,0.17032974712816215,7.503172512869628,7.441240793687089,7.565104232052167,0.88234,0.8795157478034176,0.8851642521965825,0.5165,0.5121196937906123,0.5208803062093876,0.16706,0.16379025287183782,0.17032974712816215,0.56916,0.5648194350102157,0.5735005649897843,0.9898,0.988919265761583,0.9906807342384171,0.6955,0.6914662100014999,0.6995337899985001,5.465460000000005,5.45442914050086,5.476490859499149,9.8,9.782033386492051,9.81796661350795
Option2,6,5E x 1-15 + 4W (79),5,15,4,2,10000,42009,0.4301,0.42039623833771667,0.4398037616622833,0.08433333333333333,0.08210977369734089,0.08655689296932577,5.373913043478261,5.315220500509617,5.432605586446905,0.76835,0.7649742043731785,0.7717257956268214,0.3453,0.3414954796994102,0.3491045203005898,0.08433333333333333,0.08210977369734089,0.08655689296932577,0.5711166666666667,0.567156509263219,0.5750768240701144,0.9744166666666667,0.9731532943313702,0.9756800390019632,0.6207833333333334,0.6169009878610886,0.6246656788055781,3.9871833333333377,3.9798755679355096,3.994491098731166,7.166666666666667,7.1555595551583595,7.177773778174974
Live,2,4E x 1-15 + 2W (62),4,15,2,2,10000,42010,0.0,0.0,1.96e-08,0.0,0.0,1.3859292911256331e-08,nan,nan,nan,0.9905,0.9891555950089352,0.9918444049910649,0.855,0.8501201313542268,0.8598798686457731,0.0,0.0,1.3859292911256331e-08,0.77065,0.7648233485803422,0.7764766514196577,1.0,0.9999999861407071,1.0,0.94425,0.9410701472746368,0.9474298527253633,10.6838,10.65234413636561,10.71525586363439,25.0,24.9337232391373,25.0662767608627
Live,3,4E x 1-15 + 2W (62),4,15,2,2,10000,42011,0.0,0.0,1.96e-08,0.0,0.0,1.1316065276116665e-08,nan,nan,nan,0.9126,0.9094041131664591,0.9157958868335409,0.5312,0.5255529936163899,0.5368470063836102,0.0,0.0,1.1316065276116665e-08,0.7727,0.7679575733991413,0.7774424266008588,1.0,0.9999999886839347,1.0,0.8830666666666667,0.8794303528609033,0.88670298047243,7.148399999999995,7.13152873232761,7.16527126767238,14.666666666666666,14.636015374511231,14.6973179588221
Live,4,4E x 1-15 + 2W (62),4,15,2,2,10000,42012,0.0,0.0,1.96e-08,0.0,0.0,9.8e-09,nan,nan,nan,0.7548,0.7505839839613209,0.7590160160386792,0.2887,0.2842590501182292,0.2931409498817708,0.0,0.0,9.8e-09,0.774675,0.7705805974787797,0.7787694025212203,0.998875,0.9985464829542093,0.9992035170457906,0.80725,0.8033843075785184,0.8111156924214816,4.8188,4.808925228164586,4.828674771835415,9.5,9.483524568715936,9.516475431284064
Live,5,4E x 1-20 + 4W (84),4,20,4,2,10000,42013,0.0,0.0,1.96e-08,0.0,0.0,8.765386471799176e-09,nan,nan,nan,0.71666,0.7127101409645228,0.7206098590354771,0.32216,0.31806390072192814,0.32625609927807186,0.0,0.0,8.765386471799176e-09,0.7614,0.7576639496104468,0.7651360503895531,0.99952,0.9993280060992968,0.9997119939007031,0.9064,0.9038468934371476,0.9089531065628523,5.379780000000008,5.371534644360158,5.388025355639859,10.8,10.783520255906135,10.816479744093867
Live,6,4E x 1-20 + 4W (84),4,20,4,2,10000,42014,0.0,0.0,1.96e-08,0.0,0.0,8.001666493091716e-09,nan,nan,nan,0.59395,0.59002042893809,0.5978795710619099,0.20396666666666666,0.20074243920736673,0.20719089412596658,0.0,0.0,8.001666493091716e-09,0.7572333333333333,0.7538025773025803,0.7606640893640864,0.9985666666666667,0.9982639456460456,0.9988693876872878,0.84805,0.8451776224240883,0.8509223775759116,4.048183333333338,4.042344272257194,4.054022394409482,8.0,7.988778347790387,8.011221652209613
